method,alpha,N,trial,time_ms,comparisons
Insertion-based,64,1048576,17,18.2258,492109
Insertion-based,64,1048576,18,16.5069,492249
Insertion-based,64,1048576,19,17.1433,492176
Insertion-based,64,1048576,20,15.8091,491712
Insertion-based,512,4096,1,0.0049,152
Insertion-based,512,4096,2,0.0034,147
Insertion-based,512,4096,3,0.0033,142
Insertion-based,512,4096,4,0.0036,148
Insertion-based,512,4096,5,0.0037,144
Insertion-based,512,4096,6,0.0033,143
Insertion-based,512,4096,7,0.0036,142
Insertion-based,512,4096,8,0.0034,149
Insertion-based,512,4096,9,0.0036,149
Insertion-based,512,4096,10,0.0035,147
Insertion-based,512,4096,11,0.0033,147
Insertion-based,512,4096,12,0.0036,144
Insertion-based,512,4096,13,0.0034,137
Insertion-based,512,4096,14,0.0036,143
Insertion-based,512,4096,15,0.0036,143
Insertion-based,512,4096,16,0.0034,144
Insertion-based,512,4096,17,0.0035,142
Insertion-based,512,4096,18,0.0036,138
Insertion-based,512,4096,19,0.0032,142
Insertion-based,512,4096,20,0.0036,150
Insertion-based,512,8192,1,0.0072,319
Insertion-based,512,8192,2,0.0189,315
Insertion-based,512,8192,3,0.0079,324
Insertion-based,512,8192,4,0.0071,311
Insertion-based,512,8192,5,0.0074,312
Insertion-based,512,8192,6,0.0095,311
Insertion-based,512,8192,7,0.0066,315
Insertion-based,512,8192,8,0.007,316
Insertion-based,512,8192,9,0.0071,302
Insertion-based,512,8192,10,0.0069,308
Insertion-based,512,8192,11,0.0065,304
Insertion-based,512,8192,12,0.0068,322
Insertion-based,512,8192,13,0.007,315
Insertion-based,512,8192,14,0.0065,315
Insertion-based,512,8192,15,0.0067,299
Insertion-based,512,8192,16,0.0066,312
Insertion-based,512,8192,17,0.0075,320
Insertion-based,512,8192,18,0.0092,306
Insertion-based,512,8192,19,0.0135,323
Insertion-based,512,8192,20,0.008,301
Insertion-based,512,16384,1,0.0203,665
Insertion-based,512,16384,2,0.0172,664
Insertion-based,512,16384,3,0.0144,663
Insertion-based,512,16384,4,0.0159,680
Insertion-based,512,16384,5,0.0147,649
Insertion-based,512,16384,6,0.0288,653
Insertion-based,512,16384,7,0.0174,672
Insertion-based,512,16384,8,0.0165,698
Insertion-based,512,16384,9,0.0165,682
Insertion-based,512,16384,10,0.0168,695
Insertion-based,512,16384,11,0.016,670
Insertion-based,512,16384,12,0.0211,677
Insertion-based,512,16384,13,0.0158,675
Insertion-based,512,16384,14,0.0213,657
Insertion-based,512,16384,15,0.0157,692
Insertion-based,512,16384,16,0.0153,655
Insertion-based,512,16384,17,0.0141,669
Insertion-based,512,16384,18,0.015,667
Insertion-based,512,16384,19,0.0148,670
Insertion-based,512,16384,20,0.0217,667
Insertion-based,512,32768,1,0.0375,1418
Insertion-based,512,32768,2,0.0333,1437
Insertion-based,512,32768,3,0.0641,1400
Insertion-based,512,32768,4,0.0379,1465
Insertion-based,512,32768,5,0.0377,1420
Insertion-based,512,32768,6,0.034,1472
Insertion-based,512,32768,7,0.0342,1434
Insertion-based,512,32768,8,0.0413,1443
Insertion-based,512,32768,9,0.0471,1435
Insertion-based,512,32768,10,0.044,1430
Insertion-based,512,32768,11,0.0345,1453
Insertion-based,512,32768,12,0.0352,1447
Insertion-based,512,32768,13,0.0363,1471
Insertion-based,512,32768,14,0.0365,1452
Insertion-based,512,32768,15,0.0405,1446
Insertion-based,512,32768,16,0.0498,1453
Insertion-based,512,32768,17,0.0361,1472
Insertion-based,512,32768,18,0.0368,1436
Insertion-based,512,32768,19,0.0379,1426
Insertion-based,512,32768,20,0.0366,1462
Insertion-based,512,65536,1,0.1016,3063
Insertion-based,512,65536,2,0.1679,3048
Insertion-based,512,65536,3,0.12,3109
Insertion-based,512,65536,4,0.1267,3067
Insertion-based,512,65536,5,0.1074,3119
Insertion-based,512,65536,6,0.1165,3027
Insertion-based,512,65536,7,0.1026,3100
Insertion-based,512,65536,8,0.1012,3062
Insertion-based,512,65536,9,0.1048,3079
Insertion-based,512,65536,10,0.0961,3099
